comments_es,satisfied
la aplicacion movil del banco no es satisfactoria no se lo recomendaria a un amigo,Negativo
las tasas hipotecarias son demasiado altas creo que voy a cambiarme a un competidor,Negativo
el sitio web del banco es realmente facil de navegar,Positivo
este banco necesita mas sucursales realmente malo en general creo que cambiare de banco pronto,Negativo
he tenido cargos fraudulentos en mi cuenta con este banco podria cerrar mi cuenta,Negativo
el banco deberia incrementar sus esfuerzos para apoyar a las organizaciones beneficas y organizaciones locales esperaba un mayor nivel de servicio de este banco y me han decepcionado,Negativo
no hay muchos productos financieros para gente como yo su banco debe tomarse mas en serio la privacidad,Negativo
no estoy seguro de confiar mis datos a este banco esperaba un mayor nivel de servicio de este banco y me han decepcionado,Negativo
feliz con su seguridad en linea al banco le va bien en general,Positivo
la banca en linea es realmente buena gracias por su servicio,Positivo
el banco tiene muchos cajeros automaticos,Positivo
los cargos de mi cuenta corriente son excesivamente altos simplemente no es aceptable,Negativo
el banco necesita asumir un papel mas activo en el area local mirando a otros bancos ahora,Negativo
realmente incomodo tratar con este banco quiero saber mas sobre lo que hacen con mis datos no feliz no se lo recomendaria a un amigo,Negativo
banco por lo que los productos hipotecarios son bastante restringidos el servicio de atencion al cliente del banco no coopera el mal servicio general del banco me hace considerar cambiar,Negativo
las tasas hipotecarias de este banco son bastante competitivas,Positivo
este bant esta realmente comprometido a retribuir a la comunidad,Positivo
el banco debe tomar medidas para abordar las preocupaciones de los clientes sobre la privacidad de los datos su mal servicio me hace pensar en cambiar de banco,Negativo
las tasas de ahorro de su parte son muy bajas el servicio al cliente no es bueno,Negativo
la gama de servicios financieros proporcionados por el banco es buena en general todo esta bastante bien pero podria mejorar,Neutro
las tarifas por usar las tarjetas de credito de este banco son demasiado altas,Negativo
este banco va mas alla al apoyar iniciativas comunitarias,Positivo
en general estoy bastante contento con el servicio,Positivo
mi experiencia con el servicio de este banco ha sido tan negativa que no se lo recomendaria a nadie,Negativo
debe tomarse mas en serio la privacidad de los datos realmente inaceptable,Negativo
estoy agradecido de que mi banco apoye tanto a nuestras escuelas como al centro comunitario razonablemente feliz en general,Positivo
dificil hacer negocios con este banco el banco tiene una gama limitada de servicios necesito hacerlo mejor en el futuro,Negativo
aplicacion movil de dios pasable en general,Positivo
en general muy satisfecho con mi banco,Positivo
tu experiencia con la aplicacion es decepcionante estoy completamente decepcionado y frustrado con el servicio brindado,Negativo
en general todo esta bien,Positivo
las comisiones bancarias son demasiado caras realmente inaceptable,Negativo
sin comentarios,Positivo
las comisiones bancarias son razonables para los servicios prestados,Positivo
el mal servicio general del banco me hace considerar cambiarme,Negativo
el sitio web del banco me parece muy facil de usar en resumen estoy razonablemente satisfecho,Positivo
bueno en general supongo,Positivo
vive el sitio web en linea de los bancos lo estas haciendo bien,Positivo
las ubicaciones son incomodas,Negativo
entonces el banco deberia priorizar la privacidad de los datos el mal servicio general de los bancos me hace considerar cambiarme,Negativo
muy pocos cajeros automaticos para este banco este banco no esta en la recta final,Negativo
en general estoy bastante contento con el servicio,Positivo
el banco necesita hacer mas por la comunidad la experiencia general ha sido realmente mala y estoy planeando cambiar de banco pronto,Negativo
el servicio brindado por este banco es muy decepcionante el nivel de servicio brindado por este banco no esta a la altura pensando en cerrar mi cuenta,Negativo
las manzanas moviles son realmente buenas,Positivo
tarifas demasiado altas para la banca creo que cerrare la cuenta de mayo,Negativo
el banco tiene opciones de cajeros automaticos muy limitadas creo que voy a cambiarme a un competidor,Negativo
en general estoy bastante contento con el servicio,Positivo
el medio ambiente deberia ser una mayor prioridad para su banco ojala no hubiera abierto una cuenta en este banco,Negativo
la aplicacion movil necesita ser mas segura creo que voy a cambiarme a un competidor,Negativo
las tasas de ahorro proporcionadas por el banco son buenas y beneficiosas para los clientes estoy bastante satisfecho en general,Positivo
numero de comentario,Negativo
estoy realmente decepcionado con el servicio al cliente pensando en cerrar mi cuenta,Negativo
me alegra que se tome en serio la seguridad de la banca en linea,Positivo
productos hipotecarios muy limitados creo que cerrare mi cuenta,Negativo
las sucursales bancarias son bastante accesibles estoy satisfecho con el servicio brindado,Positivo
prefiero no comentar,Positivo
aplicacion movil bien disenada,Positivo
el banco ofrece una extensa red de cajeros automaticos,Positivo
no puedo darme el lujo de seguir pagando estas altas comisiones bancarias el desempeno de este banco es inaceptable,Negativo
debe tomarse mas en serio la privacidad de los datos las ubicaciones son incomodas esperaba un mayor nivel de servicio de este banco y me han decepcionado,Negativo
sin comentarios,Negativo
buena gama de productos financieros en general este banco esta bien,Positivo
estoy bastante satisfecho con los servicios del banco hay margen para mejorar en este banco,Positivo
suerte el sitio web en linea de los bancos bant esta bien en general,Positivo
la seguridad de su aplicacion movil es encomiable,Positivo
la aplicacion movil del banco necesita mejoras,Negativo
muchas tiendas servicio decente en general pero aun se puede mejorar,Neutro
es hora de que su banco realice cambios significativos y contribuya a un futuro mas ecologico el desempeno de este banco es inaceptable,Negativo
banco por lo que las opciones hipotecarias no son integrales necesito hacerlo mejor en el futuro,Negativo
las sucursales del banco se encuentran en lugares incomodos realmente es necesario mejorar los servicios en este banco,Negativo
la plataforma online del banco es realmente impresionante estoy bastante contento con el servicio del banco,Positivo
el banco debe trabajar para ganarse la confianza de los clientes en materia de privacidad de datos mi experiencia con este servicio bancario ha sido tan negativa que no se lo recomendaria a nadie,Negativo
el servicio de banca en linea es muy extenso en general estoy bastante satisfecho con mi banco,Positivo
el servicio brindado a los clientes es una falta de respeto es necesario mejorar la seguridad de la aplicacion movil realmente no estoy contento con este banco,Negativo
estoy orgulloso de ser cliente de un banco que invierte en la economia local,Positivo
debe tener mas cuidado con los datos de los clientes solo asiente aceptablemente,Negativo
como institucion financiera su banco tiene el deber de pensar en el medio ambiente las sucursales del banco se encuentran en lugares incomodos servicios al cliente no son buenos no se lo recomendaria a un amigo,Negativo
encontrar sucursales bancarias es bastante dificil esperaba un mayor nivel de servicio fre ti bank y me han dejado abandonado,Negativo
los tipos de interes de las hipotecas son demasiado elevados,Negativo
estoy cansado de las comisiones bancarias en constante aumento realmente es necesario mejorar los servicios en este banco,Negativo
las tasas hipotecarias de este banco son bastante competitivas en general estoy bastante satisfecho con mi banco,Positivo
sin comentarios,Positivo
mal servicio al cliente su banco necesita realizar mejoras en sus practicas de servicio al cliente,Negativo
sin comentarios,Negativo
el servicio al cliente de este banco es confiable y confiable mi banco ha superado mis expectativas y estoy muy contento,Positivo
hay servicios limitados disponibles para mis necesidades especificas creo que cerrare mi cuenta,Negativo
el banco cuenta con una amplia red de cajeros automaticos,Positivo
las sucursales del banco estan ubicadas en lugares convenientes,Positivo
sin comentarios,Positivo
aprecio que mi banco este involucrado en esfuerzos filantropicos,Positivo
necesita tomarse mas en serio la privacidad de los datos,Negativo
el servicio al cliente del banco es inutil,Negativo
las tasas de ahorro son competitivas,Positivo
tus comisiones me estan alejando de este banco creo que voy a cambiarme a un competidor,Negativo
creo que el banco podria hacer mas para apoyar a la comunidad el servicio al cliente del banco es frustrante,Negativo
realmente aprecio la aplicacion movil del banco bien en general,Positivo
la banca en linea es comoda y sencilla con este banco las cosas estan bastante bien pero podrian mejorar,Neutro
muy pocas sucursales para este banco el mal desempeno general del banco me hizo decidir cambiar pronto,Negativo
el telefono apple es dificil de usar el bajo rendimiento general de estos bancos me hizo decidir cambiar pronto,Negativo
simplemente no es aceptable,Negativo
sus servicios bancarios han sido excelentes en general y estoy contento con ellos,Positivo
mi banco participa en el apoyo a organizaciones beneficas locales bastante bien en general pero podria hacerlo mejor,Neutro
no me gusta el sitio web en linea del banco su banco necesita mejorar su enfoque de servicio al cliente creo que cerrare mi cuenta,Negativo
el representante de servicio al cliente con el que hable fue muy atento en general estoy bastante contento,Positivo
en general estoy contento con el banco,Positivo
el servicio prestado a los clientes no es util,Negativo
la aplicacion movil del banco necesita mejoras el mal desempeno general del banco me hizo decidir cambiarme pronto,Negativo
los servicios de su banco tienen un alcance limitado su mal servicio me hace cambiar de banco,Negativo
el medio ambiente es una responsabilidad compartida y su banco puede hacerlo mejor,Negativo
la experiencia con la aplicacion movil podria ser mejor estoy decepcionado con el servicio brindado por este banco y estoy considerando llevar mi negocio a otra parte,Negativo
si no le gusta el sitio en linea el desempeno de este banco es inaceptable,Negativo
tuve una experiencia positiva con el servicio de atencion al cliente del banco en general muy contento con mi banco,Positivo
la experiencia de las manzanas telefonicas es frustrante realmente hay que mejorar las cosas aqui,Negativo
nada que decir,Negativo
tasas de interes de ahorro bastante buenas mi banco me ha hecho muy feliz,Positivo
la experiencia de servicio al cliente es desagradable mi banco deberia priorizar los comentarios y las inquietudes de los clientes el desempeno de este banco es inaceptable,Negativo
este banco ofrece una aplicacion de telefono movil buena y segura no puedo decir lo suficiente sobre mi banco gracias,Positivo
su banco deberia ser mas proactivo a la hora de abordar las necesidades de la comunidad,Negativo
es facil localizar una sucursal de este banco en general este banco es aceptable,Positivo
el servicio de atencion al cliente de su banco no es profesional realmente no estoy contento contigo,Negativo
aprecio lo facil que es acceder a mi cuenta en linea en general lo estas haciendo bien,Positivo
el banco deberia demostrar un mayor compromiso con la responsabilidad social necesita redisenar su aplicacion movil no se lo recomendaria a un amigo,Negativo
buenas tasas de ahorro opcion bastante justa para la banca,Positivo
los tipos de interes de los ahorros de los bancos son extremadamente bajos,Negativo
por que sus honorarios son tan altos realmente no estoy contento contigo,Negativo
la aplicacion movil es segura y confiable estoy bastante satisfecho con mi banco,Positivo
el servicio al cliente del banco es descortes,Negativo
este banco deberia centrarse en retribuir a la comunidad considere seriamente cambiarse a un banco rival,Negativo
el servicio general del banco esta contemplando el cambio,Negativo
realmente genial sobre todo gracias,Positivo
no me importan las tarifas y cargos con este banco en general todo esta bien pero hay margen de mejora,Neutro
los datos de los clientes deben tratarse con mayor cuidado el servicio de atencion al cliente del banco es bastante grosero no estoy satisfecho con el servicio que he recibido y no se lo recomendaria a nadie,Negativo
estoy bastante contento con mi banco,Positivo
realmente no estoy contento con este banco,Negativo
cansado de su mal servicio al cliente,Negativo
razonablemente feliz en general,Positivo
siempre he tenido una gran experiencia con el servicio de atencion al cliente del banco estoy bastante satisfecho con mi banco,Positivo
nada que comentar,Negativo
el servicio brindado a los clientes es una falta de respeto el servicio de este banco es realmente inaceptable,Negativo
no aplicable,Positivo
es dificil hacer negocios con este banco sin suficientes sucursales,Negativo
el banco realmente deberia contribuir mas a nuestra comunidad,Negativo
la aplicacion movil del banco cuenta con robustas medidas de seguridad estoy bastante contento con el servicio del banco,Positivo
en general estoy contento con el servidor del banco,Positivo
las tarifas por utilizar este banco son demasiado altas falta de servicios bancarios para mis necesidades estoy decepcionado con el nivel de servicio de su banco,Negativo
las tarifas cobradas son razonables opitonon razonablemente buena para la banca,Positivo
sin comentarios,Negativo
nada que decir,Positivo
realmente inaceptable,Negativo
no,Negativo
n comentario,Negativo
estoy bastante satisfecho en general,Positivo
deje de aumentar las tasas de su hipoteca muy muy mal servicio al cliente su banco necesita trabajar para mejorar la satisfaccion del cliente mi experiencia con el servicio de este banco ha sido tan negativa que no se lo recomendaria a nadie,Negativo
en general este banco esta satisfecho,Positivo
sin comentarios,Positivo
el servicio brindado a sus clientes es muy irrespetuoso,Negativo
el banco tiene una gama limitada de servicios,Negativo
prefiero no comentar sobre esto,Positivo
en terminos generales las cosas estan bastante bien pero podrian mejorar,Neutro
las tasas de ahorro del banco son competitivas con las de otros bancos de la industria,Positivo
estoy bastante satisfecho con los servicios del banco soy un muy buen servicio y hola definitivamente se lo recomendaria a un amigo,Positivo
este banco ofrece tasas de interes de ahorro bastante buenas en general todo esta bien,Positivo
las sucursales del banco estan en buenas ubicaciones en general estoy bastante contento con el servicio,Positivo
los productos hipotecarios de los bancos estan bastante restringidos el bajo rendimiento general de pank ha hecho que decida cambiar pronto,Negativo
en general estoy bastante satisfecho con mi banco,Positivo
la aplicacion movil del banco es realmente util,Positivo
es muy incomodo tratar con este pank realmente es necesario mejorar los servicios en este banco,Negativo
la aplicacion movil esta bien disenada y es segura en general lo estas haciendo bien,Positivo
los feeds bancarios no son demasiado altos opcion bastante justa para la banca,Positivo
hay servicios limitados disponibles para mis necesidades especificas esperaba un mayor nivel de servicio de este banco y me decepciono,Negativo
debes tener mas cuidado con los datos de los clientes,Negativo
me arrepiento de haber abierto una cuenta en este banco,Negativo
no estoy contento de haber cerrado tantas de sus sucursales estoy pensando en cerrar mi cuenta,Negativo
la experiencia de la aplicacion del telefono es frustrante el banco debe hacer de la privacidad de los datos una maxima prioridad estoy decepcionado con el servicio brindado por este banco y estoy considerando llevar mi negocio a otra parte,Negativo
el representante de servicio al cliente fue muy cortes y servicial en terminos generales estoy muy satisfecho con su servicio,Positivo
como instrumento financiero su banco tiene el deber de pensar en el medio ambiente me preocupa confiar mis datos a este banco estoy completamente decepcionado y frustrado con el servicio brindado,Negativo
la experiencia de la aplicacion movil podria ser mejor,Negativo
las cosas estan bastante bien pero podrian mejorar,Neutro
el servicio de atencion al cliente del banco es irritante ojala no hubiera abierto una cuenta en este banco,Negativo
y necesitamos aportar amarre a nuestra localidad no es lo suficientemente bueno en absoluto,Negativo
el servicio al cliente de este banco es extremadamente pobre decepcionado con el servicio prestado por este banco,Negativo
tuve una experiencia positiva con el servicio de atencion al cliente del banco,Positivo
el banco va bien en general,Positivo
las tasas hipotecarias proporcionadas por este banco son competitivas aprecio el buen servicio al cliente brindado por este banco razonablemente feliz en general,Positivo
sin comentarios,Negativo
en general es una opcion razonablemente buena para la banca,Positivo
creo que la aplicacion movil proporcionada por el banco es excelente no puedo decir lo suficiente sobre mi banco gracias,Positivo
el banco tiene una extensa red de sucursales en general estoy muy satisfecho con mi banco,Positivo
falta de servicios para mis necesidades especiales,Negativo
las comisiones bancarias son demasiado caras estoy pensando en cerrar mi cuenta,Negativo
las sucursales del banco son dificiles de encontrar,Negativo
la aplicacion movil es facil de usar las tasas hipotecarias que ofrece este banco son bastante competitivas,Positivo
se proporciona una buena oferta de productos financieros,Positivo
sin comentariossin comentarios,Negativo
la aplicacion movil del banco es realmente fantastica,Positivo
la aplicacion movil parece ser segura supongo que todo esta bien en general,Positivo
su banco deberia ser mas proactivo a la hora de responder a las necesidades de la comunidad realmente es necesario hacer algo aqui,Negativo
el servicio de atencion al cliente del banco hizo que mi experiencia bancaria fuera facil y sin estres,Positivo
el servicio brindado a sus clientes es constantemente decepcionante el banco debe tomar medidas para abordar las preocupaciones de los clientes sobre la privacidad de los datos su banco debe escuchar los comentarios de los clientes y realizar los cambios correspondientes realmente no satisfecho,Negativo
buenos servicios para gente como yo,Positivo
el banco debe trabajar para ganarse la confianza de los clientes en materia de privacidad de datos,Negativo
las tarifas de estos bancos no son transparentes hay servicios limitados disponibles para mis necesidades especificas creo que voy a cambiarme a un competidor,Negativo
el representante de servicio al cliente fue muy cortes y servicial al banco le va bien en general,Positivo
los tipos de interes de las hipotecas son demasiado elevados,Negativo
las ubicaciones del banco no son convenientes realmente pobre en general creo que cambiare de banco pronto,Negativo
las tarifas por usar este banco son demasiado altas las ofertas hipotecarias del banco son bastante limitadas estoy decepcionado con el servicio brindado por este banco,Negativo
el banco necesita estar mas involucrado en los eventos de la comunidad realmente no estoy contento contigo,Negativo
la privacidad de las fechas es un area en la que el banco debe mejorar esto es inaceptable y debe abordarse,Negativo
el servicio brindado a los clientes es irrespetuoso,Negativo
lo que experimente simplemente no es aceptable,Negativo
banco hace mucho en la comunidad bueno en general supongo,Positivo
el servicio al cliente de los bancos es frustrante esto es inaceptable y debe abordarse,Negativo
el enfoque del banco en la seguridad de la banca en linea es tranquilizador lo estas haciendo bien,Positivo
es bueno ver que mi banco participa en el apoyo a organizaciones beneficas locales,Positivo
estoy orgulloso de ser cliente de un banco que invierte en la economia local el banco tiene tasas hipotecarias competitivas que vale la pena considerar,Positivo
en general estoy contento con mi banco,Positivo
sin comentarios,Positivo
quiero saber mas sobre lo que hacen con mis datos estoy considerando seriamente cambiarme a otro banco,Negativo
no estoy seguro de confiar mis datos a este banco me estoy cansando de todas las comisiones bancarias inesperadas mirando a otros bancos ahora,Negativo
productos hipotecarios muy limitados este banco no esta actualizado,Negativo
su banco deberia ser mas proactivo a la hora de abordar las necesidades de la comunidad el servicio proporcionado por su banco ha sido consistentemente deficiente y estoy considerando cambiar,Negativo
en terminos generales son bastante buenos pero podrian mejorar,Neutro
por que este banco tiene comisiones tan altas,Negativo
necesita redisenar su aplicacion movil su mal servicio me esta haciendo cambiar de banco,Negativo
falta de servicios bancarios para mis necesidades es un desafio localizar sucursales bancarias no feliz no recomendaria ser amigo,Negativo
las tarifas consumen mis ahorros,Negativo
en general estas haciendo un trabajo decente,Positivo
recibi un excelente servicio de atencion al cliente y soporte este banco ofrece una variedad de productos financieros que son utiles,Positivo
el servicio al cliente brindado es rudo esto es inaceptable y debe abordarse,Negativo
el banco deberia asumir un papel de liderazgo en el desarrollo comunitario gracias cerrare mi cuenta,Negativo
el banco debe hacer de la privacidad de los datos una maxima prioridad mirando a otros bancos ahora,Negativo
decepcionado con el servicio brindado por este banco,Negativo
los tipos de interes de las hipotecas son demasiado elevados,Negativo
las tarifas son competitivas al menos en comparacion con otros bancos mi experiencia como cliente ha sido fantastica y estoy muy contento,Positivo
sin comentarios,Negativo
estoy frustrado por su excesiva informacion bancaria el mal servicio me hizo pensar en cambiarme a otro banco,Negativo
no me gusta el sitio web en linea las tasas hipotecarias son demasiado altas,Negativo
las tarifas por usar las tarjetas de credito de este banco son demasiado altas esperaba un mejor servicio de este banco y me ha decepcionado,Negativo
las tarifas son una locura no feliz no se lo recomendaria a un amigo,Negativo
este banco deberia centrarse en retribuir a la comunidad tu poul servise me hace pensar en cambiar de banco,Negativo
buenas opciones de hipotecas y tasas de ahorro,Positivo
estoy agradecido de que mi banco apoye nuestras escuelas y nuestro centro comunitario razonablemente feliz en general,Positivo
estoy pensando en cerrar mi cuenta,Negativo
en general este banco esta bien,Positivo
me alegra que sus bancos se tomen en serio nuestra privacidad bastante feliz con mi banco,Positivo
me gusta que mi banco este comprometido a marcar la diferencia en el mundo,Positivo
sin comentarios,Negativo
tarifas demasiado altas para la banca no es lo suficientemente bueno en absoluto,Negativo
es un desafio localizar sucursales bancarias estoy pensando seriamente en cambiarme de banco,Negativo
sin comentarios,Positivo
no estoy contento con el servicio que recibi y no se lo recomendaria a nadie mas,Negativo
la aplicacion movil de pank hace que realizar operaciones bancarias sea muy sencillo el nivel de servicio al cliente brindado por este banco es de primera categoria en terminos generales las cosas estan bastante mal pero podrian mejorar,Neutro
debe tomarse mas en serio la privacidad de los datos deberias retribuir a la comunidad,Negativo
sin comentarios,Positivo
no son malas tarifas y cargos gracias,Positivo
las tarifas son competitivas al menos en comparacion con otros bancos bastante satisfecho en general,Positivo
la interfaz de la aplicacion del telefono del banco es confusa creo que cerrare mi cuenta,Negativo
buena opcion para realizar operaciones bancarias en irlanda,Positivo
su prohibicion necesita tomar mas medidas para proteger los datos de los clientes realmente pobre en general creo que cambiare de banco pronto,Negativo
en general estoy contento con mi banco,Positivo
sin comentarios,Positivo
es muy incomodo ir a las sucursales del banco esperaba un mejor servicio por parte de este banco y me he sentido decepcionado,Negativo
el banco necesita invertir en iniciativas comunitarias considere seriamente cambiarse a un banco rival,Negativo
estas comisiones bancarias son demasiado costosas ojala no hubiera abierto una cuenta en este banco,Negativo
este servicio bancario ya es inaceptable,Negativo
que mal servicio al cliente el banco debe trabajar para ganarse la confianza de los clientes en materia de privacidad de datos estoy decepcionado con el servicio brindado por este banco y estoy considerando llevar mi negocio a otra parte,Negativo
sin comentarios,Negativo
me alegra que sus bancos se tomen en serio nuestra privacidad gracias,Positivo
servicio realmente pobre en general considerando cambiar de banco,Negativo
los tipos de interes de las hipotecas son demasiado excesivos el banco deberia asumir un papel de liderazgo en el desarrollo comunitario no estoy satisfecho con el servicio que recibi y no se lo recomendaria a nadie mas,Negativo
las tasas hipotecarias del banco son excesivamente altas el servicio de este banco es realmente inaceptable,Negativo
realmente es necesario mejorar los servicios de este banco,Negativo
siempre he tenido una gran experiencia con el servicio al cliente del banco mi banco ha superado mis expectativas y estoy muy contento,Positivo
tu aplicacion movil no funciona estoy considerando seriamente llevar mi negocio a otra parte,Negativo
las sucursales del banco se encuentran en lugares muy inconvenientes no se lo recomendaria a un amigo,Negativo
las sucursales bancarias son dificiles de encontrar cambiare de banco pronto debido a la mala experiencia general,Negativo
los productos financieros del banco deben ser mas diversos no es suficiente para nada,Negativo
tu banco necesita preocuparse mas por el medio ambiente lamento haber abierto una cuenta en este banco,Negativo
este banco tiene buenas opciones para tasas hipotecarias y de ahorro en general estoy bastante contento con mi banco,Positivo
quiero saber mas sobre lo que hacen con mis datos esto es inaceptable y debe abordarse,Negativo
las tarifas por abrir una cuenta nueva son demasiado altas el servicio de atencion al cliente del banco no coopera estoy pensando en cerrar mi cuenta,Negativo
buena gama de productos hipotecarios,Positivo
sin comentarios,Positivo
facil de encontrar un cajero automatico bastante bien,Positivo
su banco debe tomarse mas en serio la privacidad de los datos realmente inaceptable,Negativo
las sucursales son incomodas los servicios realmente necesitan mejorarse en este banco,Negativo
la aplicacion movil del banco es realmente facil de usar en general estoy bastante contento con mi banco,Positivo
las tasas de interes de ahorro proporcionadas por el banco dis son impresionantes considerandolo todo soy un cliente satisfecho,Positivo
sin comentarios,Positivo
este banco ofrece tasas de interes de ahorro bastante buenas en general estoy bastante satisfecho con mi banco,Positivo
su servicio ha sido realmente pobre,Negativo
tu aplicacion movil no funciona no feliz no se lo recomendaria a un amigo,Negativo
nada que agregar,Negativo
se necesita transparencia con respecto a como utiliza mis datos los cargos de mi cuenta actual son excesivamente altos servicio realmente pobre en general considerando cambiar de banco,Negativo
no,Positivo
buen servicio en general gracias,Positivo
mi comunidad tiene suerte de tener un banco que realiza una labor benefica tan excelente todo esta bastante bien,Positivo
estoy frustrado por sus excesivas comisiones bancarias el banco debe tener mas cuidado con los datos de los clientes servicio realmente pobre en general considerando cambiar de banco,Negativo
mi banco debe dar prioridad al apoyo a empresas y organizaciones locales esto es inaceptable,Negativo
las opciones hipotecarias del banco no son completas las comisiones bancarias son demasiado altas,Negativo
las sucursales del banco son faciles de encontrar,Positivo
el banco tiene una gama limitada de servicios que me atienden senti que mi banco deberia tratarme mejor,Negativo
el servicio brindado por este banco es muy decepcionante esto es inaceptable y debe abordarse,Negativo
el servicio al cliente del banco es insatisfactorio simplemente no es aceptable,Negativo
el servicio al cliente proporcionado por este banco es muy util es fantastico que mi banco apoye causas que me importan,Positivo
nada mas agregar,Negativo
el servicio al cliente del banco es excepcional,Positivo
mi descontento con el banco es tan grande que no lo recomendaria,Negativo
los servicios son limitados para clientes como yo realmente no estoy contento con este banco,Negativo
las sucursales bancarias son realmente dificiles de encontrar el servicio al cliente no es solidario me arrepiento de haber abierto una cuenta en este banco,Negativo
bastante bueno,Positivo
no hay muchos productos financieros para gente como yo estoy completamente decepcionado y frustrado con el servicio brindado,Negativo
muy muy mal servicio al cliente el banco necesita invertir en iniciativas comunitarias considerando seriamente cambiarse a un banco rival,Negativo
muy satisfecho con la calidad del servicio al cliente brindado por esta banda,Positivo
sin comentarios,Negativo
se necesitan mas productos financieros para personas como yo el banco turistico necesita trabajar para mejorar la satisfaccion del cliente realmente no estoy contento contigo,Negativo
este banco ofrece una variedad de productos financieros que son utiles,Positivo
sin comentarios,Negativo
sin comentarios,Negativo
no estoy contento de haber cerrado muchas de sus sucursales lo que experimente es simplemente aceptable,Negativo
sin comentarios,Positivo
en general es una opcion razonablemente buena para la banca,Positivo
las ubicaciones del banco no son convenientes necesito hacerlo mejor en el futuro,Negativo
los productos financieros que ofrece el banco son diversos y utiles,Positivo
tanto sus tasas hipotecarias como de ahorro son bajas y esperaba un mayor nivel de servicio de este banco y me decepciono,Negativo
la red de cajeros automaticos de este banco es excelente estoy muy contento con el servicio en general,Positivo
buenos servicios para gente como yo,Positivo
estas comisiones bancarias ocultas son inaceptables este banco no esta a la altura,Negativo
el banco realmente deberia contribuir mas a nuestra comunidad su banco necesita mejorar su enfoque de servicio al cliente todo tu enfoque necesita cambiar,Negativo
las tarifas y cargos no son excesivos con este banco estoy extremadamente satisfecho y feliz con el servicio,Positivo
falta de servicios bancarios para mis necesidades el servicio de atencion al cliente del banco es irritante no se lo recomendaria a un amigo,Negativo
sin comentarios,Negativo
mi banco debe priorizar el apoyo a las empresas y organizaciones locales no estoy satisfecho con el servicio que recibi y no se lo recomendaria a nadie mas,Negativo
la experiencia de las manzanas telefonicas es frustrante las tasas hipotecarias de los bancos son excesivamente altas completamente decepcionado molesto con el servicio proporcionado,Negativo
las tasas hipotecarias son una carga demasiado pesada el mal servicio general del banco me hace considerar cambiarme,Negativo
encontrar sucursales bancarias es muy facil estoy bastante contento con el servicio de la banda,Positivo
sin comentarios,Negativo
sus cargos bancarios son excesivos necesita redisenar su aplicacion movil realmente mal servicio por tu parte,Negativo
las tasas hipotecarias de los bancos son bastante justas,Positivo
servicio al cliente realmente pobre con este banco considere seriamente cambiarse a un banco rival,Negativo
estoy bastante satisfecho con los servicios del banco,Positivo
me alegra que se tome en serio la seguridad de la banca en linea me gustaria expresar mi agradecimiento al banco y a su personal,Positivo
las comisiones bancarias no son demasiado altas en general todo esta bastante bien pero podria mejorar,Neutro
sin comentarios,Negativo
el servicio de atencion al cliente del banco es irritante estoy completamente decepcionado y frustrado con el servicio brindado,Negativo
se necesita transparencia sobre como utiliza mis datos necesito hacerlo mejor en el futuro,Negativo
el servicio de atencion al cliente del banco es irritante las sucursales bancarias son realmente dificiles de encontrar,Negativo
las comisiones bancarias son demasiado altas,Negativo
es dificil hacer negocios con este banco sin suficientes broches de oro por que recibo todos estos feeds,Negativo
las comisiones bancarias son demasiado altas las tasas de ahorro de su parte son muy bajas creo que cerrare mi cuenta,Negativo
el servicio al cliente de los bancos es insatisfactorio estoy completamente decepcionado con el nivel de servicio brindado por este banco,Negativo
hay escasez de cajeros automaticos para este banco el desempeno de este banco es inaceptable,Negativo
el sitio web online del banco me parece fantastico,Positivo
su mal servicio me hace pensar en cambiar de banco,Negativo
la experiencia web del banco es decepcionante no lo recomendaria a un amigo,Negativo
tsis bank ofrece una variedad de productos financieros que son utiles en general bastante satisfecho,Positivo
deje de aumentar las tasas de su hipoteca el servicio al cliente esta por debajo de la media,Negativo
el banco es decente en general,Positivo
el banco realiza una buena labor benefica en nuestra zona la seleccion de productos hipotecarios que ofrece el banco es amplia,Positivo
es bastante conveniente tratar con este banco el servicio de banca online que ofrece el banco es muy amplio,Positivo
el banco tiene tasas hipotecarias competitivas que vale la pena considerar,Positivo
la banca en linea es realmente buena estoy bastante contento con el servicio del banco,Positivo
las tasas de interes de ahorro que ofrece son notablemente bajas realmente es necesario mejorar las cosas aqui,Negativo
las tasas hipotecarias son demasiado altas no siento que este banco valore mi negocio,Negativo
sin comentarios,Negativo
las tasas de ahorro son competitivas,Positivo
las tasas de interes de ahorro que ofrece son notablemente bajas estoy decepcionado con el servicio brindado por este banco y estoy considerando llevar mi negocio a otro lugar,Negativo
honorarios razonables en general estoy contento con el servicio de el bant,Positivo
excelente servicio al cliente de principio a fin,Positivo
el banco no da suficiente importancia a la privacidad de los datos realmente hay que mejorar las cosas aqui,Negativo
las tarifas bancarias son competitivas,Positivo
sus tasas hipotecarias son mas altas que las de otros bancos,Negativo
bastante feliz con mi banco,Positivo
nada que comentar aqui,Positivo
las tasas hipotecarias son competitivas en general una buena opcion para banca,Positivo
los tipos de interes de los ahorros de los bancos son extremadamente bajos el banco deberia priorizar la privacidad de los datos el mal desempeno general del banco me hizo decidir cambiar pronto,Negativo
los cargos por los servicios de este banco son razonables,Positivo
realmente ofrece un servicio general considerando cambiar de banco,Negativo
enhorabuena por brindar un excelente servicio al cliente,Positivo
sin comentarios,Negativo
